,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-264.1224365,91.64316559,27.22297096,36.78341293,6.471664906,-9.10956955,-8.82520771,-27.61769295,-8.43164444,-6.159922123,-10.68507004,-1.122567773,-14.23462582,-2.51358676,-8.72158432,-2.309603691,-15.91756058,-4.079416752,-15.52765942,-5.58561945
1,-221.9554002,65.9236087,30.08313697,26.40782296,8.360159485,-6.168063856,-10.93966887,-20.42475713,-10.72000271,-5.897283779,-8.356750406,-6.001955489,-8.623665366,-6.18006177,-6.382722641,-4.262786226,-12.53588236,-6.326304107,-12.71558682,-8.124781138
2,-325.7332153,87.5891571,25.72821236,36.34775925,-0.079509117,-10.13553047,-13.16501045,-26.4897728,-5.311775208,-6.109130383,-9.245610237,-4.143101215,-12.68209267,-3.313908815,-8.524204254,-5.809546471,-16.19973564,-6.128448963,-17.6943531,-6.051091194
3,-247.4299927,157.6039429,-18.80373383,46.81303787,-22.62350655,-16.57789803,-20.47530556,2.144432545,-22.80633736,-9.502752304,-17.28311348,-12.27644444,10.71322727,-21.1978817,1.984429955,-12.19064331,-3.98304534,-5.549337864,-6.102043152,3.997968197
4,-141.9072415,66.08014885,24.07701612,13.54690999,-5.442247144,-18.36448268,-10.73896415,-6.938450275,-13.24515187,-13.01372263,-11.66187387,-5.950241227,-1.436641531,-6.866225998,-5.515325113,-5.38732909,-5.23984424,-4.661152532,-2.412900496,-0.086641956
5,-306.2445679,154.0606689,-23.56072617,48.48986435,-30.54139137,-15.78974056,-18.31806374,5.375073433,-27.96438217,-5.795728683,-22.15149498,-2.759096622,5.702679634,-23.21594048,4.239963055,-14.76543522,3.798950195,-8.457140923,1.37649262,-0.856046021
6,-278.6789246,96.98468781,-6.646764278,60.47929764,-17.61552811,-10.17413902,-3.170170307,-14.50885487,-17.24977303,-9.619457245,-8.299438477,-7.226889133,-2.921148777,-4.453789234,-7.157379627,-14.01619244,-6.388025761,-0.071910709,-15.29131317,0.510931134
7,-216.7532187,58.71879398,7.16503905,44.00540296,-7.053398497,-8.642102698,-4.509679434,-13.79791141,-17.1784381,-11.41354955,-7.157901591,-7.773764612,-3.531464021,-4.703820522,-7.765844997,-12.1932785,-4.956735435,-1.58449478,-11.36363839,-1.372155429
8,-322.6958923,84.52545929,-5.272114277,61.19158173,-23.53533363,-6.177515507,-10.45433998,-16.62909126,-19.55475616,-10.43832874,-8.458716393,-9.01330471,-1.308751822,-6.356433392,-11.9149332,-15.23027134,-1.45634973,-5.199860096,-13.25283241,5.233664989
9,-331.6867981,161.5580292,13.83012104,28.35836983,-1.825906515,-5.00346756,-14.36899948,-8.749920845,-3.011045694,-23.07729912,-22.72476578,-8.252738953,-2.637270927,-11.8093977,-6.593070507,0.926859021,-6.260286808,-6.377379894,0.404106379,-6.563794613
10,-141.9962661,45.97030197,24.45825834,12.399527,5.173957319,-2.408079094,-6.249381689,-6.537733929,-8.32050975,-14.14998734,-14.76884257,-8.222246047,-3.981769089,-5.991530773,-4.702235898,-2.474710924,-2.791155168,-3.25995435,-2.429540655,-2.267318531
11,-382.2559204,157.577713,14.25812721,26.47587395,-3.021835327,-7.126920223,-17.72745323,-8.136062622,-7.0160079,-27.91843224,-20.05916977,-2.913266659,-2.733818293,-12.54146194,-4.172318459,-0.077544548,-8.894937515,-4.109879494,-2.879357815,-10.12181854
12,-297.2543335,119.736557,-4.681400299,48.85213852,13.80306339,32.92464066,-42.82488632,3.33176589,-7.393056393,1.505846858,-10.91864586,-4.043602943,-0.210659385,-13.90637493,4.035886765,-10.15849113,7.119904518,-11.15368176,3.602720976,-5.257695198
13,-106.787789,27.26857797,14.71105855,14.34933799,13.89577661,8.458538499,-8.175080862,-3.982075358,-2.033692203,-2.56733601,-6.328955102,-5.220091355,-1.96423715,-4.422951468,-3.073430178,-4.360386386,-1.270518571,-2.833521207,-2.933701328,-2.565426587
14,-347.5669556,109.2475586,-0.525852859,50.9494133,14.69428444,25.04157066,-48.72187424,7.831393242,-8.756136894,4.519677639,-15.51785946,-0.595738292,-6.602753639,-9.651399612,1.470673561,-9.579030037,5.393440723,-12.7607193,5.237087727,-12.54029846
15,-306.2662659,120.8881454,8.313079834,20.98937225,30.94160461,2.900453091,-0.709812224,2.936420202,-9.126011848,5.485322952,-13.92451954,-15.42990303,-11.47684479,-5.794675827,-10.34156132,-4.703802109,-2.417406797,-2.493093729,2.040975809,-3.484383106
16,-141.0991357,38.50962326,17.59103141,15.92234654,15.8251065,6.546055571,-1.846918477,-3.593679078,-2.73353477,-4.589704136,-10.84339122,-11.85343743,-7.467652825,-6.262884903,-6.377434731,-3.459347746,-1.519624402,-1.27382948,-1.179413458,-1.361161442
17,-356.627655,104.9371643,8.440970421,23.56354904,28.06479263,1.643287539,-2.564594507,-2.169910908,-7.08646822,1.234725356,-19.37088776,-15.37484074,-7.483682632,-5.937952042,-9.498120308,-3.742775202,-3.077464104,-0.865449071,0.424524039,-7.02048254
18,-263.1638794,131.7433014,-23.07711029,16.61799812,-15.61904812,25.46557808,-34.44430542,4.555934906,-14.22904491,-28.58606339,8.135115623,-17.72999763,-6.040949821,-17.20518303,0.646516323,5.229458809,-11.55412579,-5.65107584,-2.404549837,-3.617010832
19,-241.56172,111.5444609,-12.15276814,12.21163647,-8.759322208,18.67903316,-27.35846229,1.920239611,-12.77889865,-26.21468477,6.840393189,-14.95655081,-7.377989762,-14.24054244,-0.331679312,6.23322089,-10.76171,-5.360325848,-1.647800902,-4.195759202
20,-309.977417,119.4154053,-19.34393883,13.3140192,-11.25880337,21.59874535,-35.20177078,5.855786324,-23.32429695,-21.26753998,6.891450882,-18.85314369,-7.314800739,-16.69460678,6.703492641,-0.925018489,-12.84174061,-3.042690516,-2.232659817,-5.827886581
21,-264.1755981,99.1745224,-15.0913105,83.2379837,-9.036846161,-6.784072399,-35.04927444,6.478643417,-28.77622795,-10.67432499,-12.80504131,-18.27983665,6.834012985,-31.16719055,4.832986355,-5.119699001,-7.489575386,1.257165074,-2.703651428,0.328156054
