,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-263.3981018,147.3428955,-19.15303612,45.45606232,-4.489021301,8.808083534,1.245309591,-6.801871777,-16.58671951,-15.50242329,-5.891134739,-29.65988541,4.903949738,8.537075043,-14.56060791,-4.242302895,2.305986166,1.928366542,-7.814498901,-6.023758411
1,-125.1758366,57.33127397,19.7672122,16.23217222,6.094019288,2.536322101,0.514085797,-6.594720271,-13.8454563,-11.13616243,-11.38065593,-14.52640351,-1.8082282,2.338232371,-5.818434172,-4.371224155,1.175432301,-0.009854296,-5.423055382,-2.801538896
2,-315.4983521,140.8502045,-16.8691597,44.67269897,-10.81236267,10.64733982,-2.312781572,-8.708415031,-21.01516151,-14.0396986,-11.66888905,-27.80025673,13.17716312,-1.046159983,-13.3686924,2.134050369,3.430716038,-1.244937062,-10.74681664,-4.736785889
3,-336.0933838,118.9646988,-6.811456203,38.74885559,-6.182460785,-5.46317482,-31.72683144,-12.53984356,4.208471298,-9.285033226,-0.254706562,7.534916401,6.717360973,-14.86009979,0.161242604,0.915838599,-12.38153934,-2.487439156,3.86391592,-2.664689302
4,-261.267911,73.77034712,8.354041565,27.81074639,0.893336759,-5.978831388,-25.57379758,-13.58023199,1.153493055,-9.066404677,-1.620110139,6.517888364,4.573528397,-10.15733018,-1.36307836,1.302553355,-9.944451732,-2.696165712,2.529657774,-3.484849952
5,-372.0265503,108.8285141,-1.543870211,39.20498276,-12.25583363,-5.702548027,-35.66227722,-10.16364384,2.708677053,-9.568665504,2.929311275,8.506246567,0.45083347,-16.91976738,4.227445602,-5.198787689,-13.67376995,1.358938694,-0.21865505,-9.45380497
6,-263.6699829,69.17726135,17.72443962,53.9605217,18.59950829,-13.99596596,-20.14376259,5.01957655,-2.971110582,-7.376935959,-30.58230209,-8.91427803,-1.294431329,-14.4328289,-9.316188812,14.7879076,-23.67098808,1.731503844,-7.209350109,-7.168962955
7,-136.3651303,31.27821315,16.53732795,23.66652143,12.28839584,-7.250034289,-8.268854194,-1.941412592,-4.714758873,-10.05017879,-14.68524685,-7.294421141,-2.841185292,-10.81968396,-6.22927059,2.313009243,-7.710451878,-4.319991158,-2.40266644,-5.362509037
8,-320.9212036,64.59764862,18.79840851,53.90206909,11.58214188,-19.92214584,-19.92198372,6.341019154,-6.022875786,-12.89941978,-32.37824631,-2.454334497,-2.374891043,-17.21625137,-0.018237079,6.247502327,-27.72981644,7.27046442,-11.59584045,-4.113664627
9,-310.9877319,129.63414,-24.04175568,44.16740036,20.2054615,-3.728815079,-3.321113586,-9.359181404,-17.95210457,-13.42047882,-9.183580399,-18.4252758,0.063744985,-1.184310436,-8.754983902,8.031199455,3.239711285,-7.481894493,-2.336671352,-4.358880997
10,-120.3242719,34.68681311,14.44369446,16.83494025,12.17493185,2.461814827,-1.829348425,-7.350694261,-11.58301274,-10.22621172,-8.143136837,-7.587213304,-4.696580322,-2.742377521,-3.325317218,1.413137993,2.830704295,-2.362097434,-1.723328112,0.281677011
11,-357.6314087,114.8236237,-16.66970825,45.55568314,15.51263237,-5.740616798,-4.61171627,-12.59196281,-19.4767437,-13.19686127,-12.04646206,-15.2504034,2.479094982,-3.221148491,-4.876917839,8.842973709,-1.607884407,-9.512385368,-1.752707362,-4.872895241
12,-326.5491638,152.0276184,30.54504204,55.75725174,16.72228241,-9.435427666,10.84823322,-16.66412735,-9.130552292,11.10455513,-5.164961338,-1.963585615,2.283423424,-5.340631008,-0.425887257,-0.321348846,-6.265130997,2.539612055,-3.765133858,-4.878266335
13,-180.4934771,60.5781207,37.19900169,35.75516631,16.92655685,2.42041857,0.267447346,-9.514353319,-7.34361614,1.278655497,-2.101211678,-2.985191869,-0.127221171,-2.277040372,-0.670394707,-0.854839256,-3.262551313,-0.398776976,-2.21461935,-5.429445199
14,-387.2085571,156.5632629,22.02022743,63.61574173,11.58738995,-12.3898859,9.951817513,-24.18824577,-3.371735334,13.09006214,-7.720544815,1.656895995,1.344831944,-7.547120094,1.421768427,-3.076069117,-4.755538464,4.438029289,-8.991076469,-4.41933918
15,-310.8158875,116.3807678,5.905663013,46.59596252,2.453381538,-6.841700077,-1.161448121,-38.55632782,-11.46579075,8.733689308,-7.663271904,-3.824897528,-2.954208851,-4.514113903,-3.88493824,2.718458652,-8.031015396,5.929244518,-3.308568954,-2.460605145
16,-119.6465269,28.79514848,14.88381259,14.07384486,5.382539726,-2.116910136,-6.666871635,-13.48302991,-8.458900691,-3.066696676,-5.00384622,-3.340234831,-1.427809375,-2.506370265,-0.203939959,0.424800298,-1.456613271,-0.36875696,-0.924709268,-3.721352638
17,-359.4954529,122.4773026,5.33692503,52.93212128,-3.138729811,-7.804197311,-11.67067719,-46.02355957,-2.411476374,7.627443314,-11.37141609,-4.711280823,-3.798020601,-6.033676147,-1.363222241,1.600119829,-4.921883583,8.319794655,-6.529937744,-2.788868904
18,-317.8699036,170.8666687,13.86365604,-14.04633999,1.672490835,-9.096750259,-14.90523148,-7.580131531,-2.983814001,-2.09873724,-3.86545229,-9.76036644,-5.622806549,1.132082224,-4.991575241,-13.0939045,-7.022237778,-3.142117262,-9.536474228,-8.290787697
19,-128.3745285,48.29930099,20.31055211,1.216695509,-2.845805359,-4.266775749,-6.823730788,-5.853165392,-2.522501563,-1.04793676,-1.895449916,-2.74499853,-1.919743839,-1.105717073,-2.86481567,-3.727187661,-2.963451809,-2.789666569,-4.576416529,-5.59960082
20,-369.6531372,168.5089722,10.54903412,-13.97720814,0.915383518,-13.35351467,-16.61378098,-7.057866096,-3.764117718,-2.654030085,-4.973957062,-9.776993752,-1.374868393,3.282393217,-8.334331512,-12.98994255,-3.73182559,-7.210671425,-14.35761452,-7.501753807
21,-321.8525696,156.2469482,33.94807434,30.27080154,0.666871488,-9.330152512,-1.887324214,-16.04225922,-9.606446266,-0.511426687,3.30162406,1.673775434,-8.770189285,-3.796935558,4.320453644,-2.331176996,-4.260146618,3.813259363,-1.681132317,-4.46340704
22,-162.7612135,55.61748307,33.45148177,17.94317252,5.916252556,-2.80041256,-7.197096003,-9.561268631,-7.922543283,-4.03034209,-0.761080373,-1.377846919,-4.675426407,-2.649700481,-0.101089128,-0.368473104,-0.970928598,-0.672044708,-2.622784655,-3.791606897
23,-380.5696106,154.7388611,30.48573494,27.59516335,-5.887919426,-10.94887447,-4.112354279,-19.1629467,-9.24564743,-0.860719085,1.351782203,-2.776125908,-11.24563694,-2.102702856,3.313796997,-5.898323536,-3.065324783,1.975554347,-6.41312027,-6.3688097
24,-299.5374451,68.74518585,17.51073074,20.73675537,-5.230773926,-6.43832922,-12.51550388,0.824400306,-7.45372057,0.941069424,-12.66599083,-4.759513378,-10.22219944,-5.8343606,0.993417382,-4.319051743,-10.67682266,9.965069771,-12.53974533,-0.664160609
25,-160.8359718,34.2236252,14.6501635,11.16247616,-3.029352589,-7.277323278,-6.563084237,-3.704692736,-5.163766589,-4.045514475,-7.031171983,-4.646587732,-3.826758641,-4.109596417,1.390831751,-4.109924452,-4.453811329,2.854914948,-6.021926831,-3.40400685
26,-351.172699,66.26021576,16.47230911,19.0098629,-8.684988022,-10.66913891,-13.01050663,-0.205680087,-7.634017944,-0.350288868,-13.31332302,-4.250963688,-9.870992661,-2.896714687,1.728299022,-9.634338379,-2.920149326,5.870184422,-15.60449982,-2.80853796
27,-284.0489197,163.6191559,19.02976799,53.09534073,-7.940465927,-25.25247002,13.26916313,-28.7638073,-14.13309956,12.70693398,-17.82331848,-8.208147049,4.901595116,-12.78411388,-8.540978432,2.183821917,-4.361437798,-3.817953825,-3.142617464,0.053978246
28,-110.2912204,50.21654947,31.47418699,20.98874314,5.099033055,-4.129440324,-5.863646312,-11.72673799,-8.422534416,-3.390278009,-7.221283396,-6.153599168,-2.483144932,-5.837409014,-5.247120064,-0.919861486,-2.183200804,-3.080804315,-2.264538144,-2.26381362
29,-321.8086243,137.4125519,28.50489426,45.55190277,-13.06630898,-19.98269653,6.093482018,-29.26830101,-8.769639015,8.366922379,-19.6870842,-4.09850502,3.469560862,-14.40558815,-3.653078318,3.530339241,-3.782709599,-3.384965658,-0.768300176,-1.992709637
30,-354.7806396,112.6884689,7.502987862,32.82632446,-3.459255934,-15.48924446,8.922372818,-17.48399162,-18.18923187,6.002391815,2.054935217,-5.240756512,-3.29275012,-4.000484943,-5.961362362,-6.659619808,-7.796583176,0.215379015,-4.424157143,-1.971263647
31,-124.2847602,26.71621713,13.20660692,11.03786338,1.459232905,-4.320688268,-2.28618497,-7.637056279,-8.998100718,-0.576204364,0.206153447,-3.180061744,-2.382241941,-2.258848427,-2.613554477,-1.317910214,-1.348389331,-1.562109583,-0.414936895,-1.439548389
