,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-316.3847961,103.2617111,3.513980865,24.24802399,-3.127353668,-35.01054382,-3.330257416,2.836229086,-22.80457115,-22.69072914,-5.636853695,-15.65850163,-20.51371002,-5.991302967,5.118216515,-13.86779785,-14.00615788,8.248534203,-10.67939949,-2.853538275
1,-210.549646,41.38555078,16.35543454,11.06861621,-0.180043458,-16.92693064,-7.357002774,-2.674296013,-15.13839405,-15.94530481,-4.487256105,-10.13211319,-14.19619887,-3.561846535,0.650456494,-7.809194518,-5.56356665,3.712024692,-3.911384695,-2.829157664
2,-369.6096802,98.45236969,-1.680009246,23.532938,-12.88076878,-37.86683273,-3.494226456,-1.01036036,-27.54925537,-19.93447495,-7.034354687,-18.82462692,-16.93017769,0.311187148,2.851470232,-21.46716499,-4.799791813,6.154839039,-13.82985878,-3.837232828
3,-270.0870667,88.15637207,-20.44257355,45.64936447,-14.50554371,0.255894184,-28.82084656,-6.020557404,-10.37022877,9.34546566,-4.62417078,3.814616203,-7.278555393,-11.72331333,5.923398972,-16.28304482,6.910013676,-7.664865494,-1.385379314,-3.568357944
4,-87.89659517,24.06176764,1.128135053,7.105583668,-0.481964575,-7.251689979,-12.28126535,-8.640913433,-2.341814715,1.275246679,1.264149722,1.590760384,-4.293498603,-3.555589985,0.452817742,-5.583712929,-1.339140292,-0.887732774,-3.321829416,-0.74585191
5,-314.8246765,84.19284821,-19.67152786,39.40050888,-16.64527893,-0.410641611,-30.66203117,-5.519208431,-9.218130112,13.14819241,-5.84802866,4.233618259,-15.37335396,-5.512781143,0.95846957,-14.38805294,7.365984917,-10.91059494,0.560160935,-6.906439304
6,-312.1726685,125.2239685,15.55819702,48.73054886,-2.419656277,9.829873085,2.22170639,-0.529407024,-12.37831688,-12.54330444,-17.37203217,-17.70854568,4.991512299,-4.558897972,-10.68063927,-4.818952084,-7.803892612,-7.952005863,-4.722117424,-5.248655319
7,-174.3421118,54.29293096,23.12423088,24.52023976,6.170869903,5.416613062,0.545445749,-2.356431621,-6.367189871,-11.21362345,-12.27024869,-9.951041967,-0.67733228,-4.38275207,-7.383242649,-4.471801698,-4.742992061,-6.19609309,-5.389136419,-6.427735814
8,-342.8015747,113.3206253,15.62979984,45.46025085,-5.841093063,9.90120697,-3.522707939,-4.806310177,-14.7653513,-14.11495113,-18.41619492,-11.35510349,8.218434334,-9.548134804,-10.62442493,-5.468750477,-7.740398407,-8.079774857,-3.197686911,-11.38359547
9,-316.1230164,88.78729248,10.62729645,70.40331268,8.894154549,17.79707336,1.987929583,7.848234177,-13.76706505,-17.11322594,-10.2810421,-16.48996925,1.363361955,-13.8402462,-9.7666502,-3.633763313,-11.86586761,-7.144748211,-8.717710495,-6.184242725
